#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	9.354099434076984E-6
5.0	9.354099434076984E-6
6.0	0.0
7.0	0.0
8.0	9.354099434076984E-6
9.0	9.354099434076984E-6
10.0	9.354099434076984E-6
11.0	1.8708198868153967E-5
12.0	9.354099434076984E-6
13.0	1.8708198868153967E-5
14.0	9.354099434076984E-6
15.0	9.354099434076984E-6
16.0	1.8708198868153967E-5
17.0	5.6124596604461905E-5
18.0	9.354099434076984E-5
19.0	8.418689490669285E-5
20.0	1.9643608811561667E-4
21.0	2.7126888358823255E-4
22.0	6.547869603853888E-4
23.0	9.447640428417754E-4
24.0	0.0015247182077545486
25.0	0.0024881904494644777
26.0	0.003086852813245405
27.0	0.00452738412609326
28.0	0.006014685936111501
29.0	0.007436509050091203
30.0	0.009204433843131753
31.0	0.010523361863336607
32.0	0.01253449324166316
33.0	0.013872129460736167
34.0	0.014657873813198635
35.0	0.015378139469622564
36.0	0.017127356063794955
37.0	0.016481923202843644
38.0	0.018380805387961274
39.0	0.01896075955287405
40.0	0.01984004489967728
41.0	0.020270333473644826
42.0	0.021355409007997754
43.0	0.02134605490856368
44.0	0.021954071371778683
45.0	0.023525560076703613
46.0	0.023263645292549456
47.0	0.02452644871614985
48.0	0.02480707169917216
49.0	0.025836022636920628
50.0	0.02621954071371779
51.0	0.03020438707263458
52.0	0.025405734062953086
53.0	0.028548711472802957
54.0	0.030372760862447966
55.0	0.02982086899583743
56.0	0.02925026893035873
57.0	0.030372760862447966
58.0	0.030728216640942895
59.0	0.02993311818904635
60.0	0.03053178055282728
61.0	0.029240914830924652
62.0	0.028773209859220807
63.0	0.02633178990692671
64.0	0.025536691455030167
65.0	0.02362845517047846
66.0	0.021972779570646833
67.0	0.019082362845517047
68.0	0.016884149478508956
69.0	0.014040503250549554
70.0	0.011973247275618541
71.0	0.009419578130115524
72.0	0.007960338618399515
73.0	0.006239184322529349
74.0	0.005041859594967495
75.0	0.004564800523829567
76.0	0.00421869884476872
77.0	0.004359010336279875
78.0	0.003526495486647023
79.0	0.003199102006454328
80.0	0.002647210139843786
81.0	0.0021607969692717835
82.0	0.0016556755998316263
83.0	0.0012253870258640846
84.0	9.915345400121603E-4
85.0	6.360787615172349E-4
86.0	6.454328609513118E-4
87.0	5.23829568308311E-4
88.0	2.1514428698377064E-4
89.0	2.338524858519246E-4
90.0	8.418689490669285E-5
91.0	9.354099434076984E-5
92.0	5.6124596604461905E-5
93.0	5.6124596604461905E-5
94.0	9.354099434076984E-6
95.0	2.806229830223095E-5
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
