#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	9.309340060883084E-6
7.0	0.0
8.0	0.0
9.0	0.0
10.0	9.309340060883084E-6
11.0	2.792802018264925E-5
12.0	1.8618680121766167E-5
13.0	9.309340060883084E-6
14.0	1.8618680121766167E-5
15.0	9.309340060883084E-6
16.0	1.8618680121766167E-5
17.0	2.792802018264925E-5
18.0	7.447472048706467E-5
19.0	7.447472048706467E-5
20.0	1.4894944097412934E-4
21.0	2.9789888194825873E-4
22.0	6.795818244444652E-4
23.0	0.0010519554268797885
24.0	0.0014522570494977611
25.0	0.002569377856803731
26.0	0.0031465569405784827
27.0	0.004487101909345647
28.0	0.005715934797382214
29.0	0.007894320371628856
30.0	0.009365196101248382
31.0	0.010640575689589364
32.0	0.012306947560487436
33.0	0.013284428266880161
34.0	0.014922872117595583
35.0	0.01566761932246623
36.0	0.01690576155056368
37.0	0.016161014345693035
38.0	0.01834870926000056
39.0	0.018888650983531777
40.0	0.019903369050168034
41.0	0.020154721231811876
42.0	0.021467338180396395
43.0	0.0217931650825273
44.0	0.02176523706234465
45.0	0.023422299593181838
46.0	0.02358055837421685
47.0	0.02445563633993986
48.0	0.02566585054785467
49.0	0.025917202729498507
50.0	0.025274858265297573
51.0	0.02976196017464322
52.0	0.025488973086697883
53.0	0.02900790362971169
54.0	0.030115715096956777
55.0	0.029491989312877612
56.0	0.030348448598478857
57.0	0.030031931036408832
58.0	0.03006916839665236
59.0	0.030469470019270334
60.0	0.030339139258417976
61.0	0.02959439205354732
62.0	0.02822591906459751
63.0	0.026941230136195645
64.0	0.025907893389437622
65.0	0.02309647269105093
66.0	0.02175592772228377
67.0	0.01918654986548004
68.0	0.016319273126728047
69.0	0.01417812491272494
70.0	0.012325566240609202
71.0	0.009849281784414302
72.0	0.007624349509863245
73.0	0.006395516621826678
74.0	0.005455273275677488
75.0	0.004356771148493284
76.0	0.004263677747884453
77.0	0.00410541896684944
78.0	0.0036771893240488186
79.0	0.0029324421191781716
80.0	0.0024949031363166664
81.0	0.002308716335099005
82.0	0.0015267317699848256
83.0	0.0013777823290106964
84.0	7.912939051750623E-4
85.0	7.168191846879976E-4
86.0	5.585604036529851E-4
87.0	4.37538982861505E-4
88.0	3.0720822200914176E-4
89.0	2.0480548133942786E-4
90.0	1.0240274066971393E-4
91.0	7.447472048706468E-5
92.0	9.309340060883084E-5
93.0	2.792802018264925E-5
94.0	1.8618680121766167E-5
95.0	9.309340060883084E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
