#Position (bp)	mapping quality
80556.0	41.95612496345487
241667.0	41.85808592789692
402778.0	41.99438690367154
563889.0	41.99745558084589
725000.0	41.94582255226073
886111.0	41.996751818643205
1047222.0	41.999453921364676
1208333.0	42.0
1369444.0	41.99948632021819
1530555.0	38.81041645009876
1691666.0	36.26805758366889
1852777.0	30.219837614229874
2013888.0	42.0
2174999.0	41.980214577616564
2336110.0	41.996310460910024
2497221.0	41.823903275224815
2658332.0	41.83212308707668
2819443.0	41.99667430547643
2980554.0	41.9980741877887
3141665.0	41.98397595534564
3302776.0	41.98064705777311
3463887.0	41.9993678221473
3624998.0	41.95330531705443
3786109.0	41.973486404260555
3947220.0	41.999120613058324
4108331.0	42.0
4269442.0	42.0
4430553.0	0.0
4591664.0	0.0
4752775.0	41.99751637272149
4913886.0	41.535779798891696
5074997.0	42.0
5236108.0	42.0
5397219.0	0.0
5558330.0	41.993851986576836
5719441.0	42.0
5880552.0	41.989966052337955
6041663.0	41.99363526857522
6202774.0	42.0
6363885.0	0.0
6524996.0	0.0
6686107.0	0.0
6847218.0	42.0
7008329.0	0.0
7169440.0	41.930499247075176
7330551.0	0.0
7491662.0	0.0
7652773.0	0.0
7813884.0	42.0
7974995.0	41.99400857915514
8136106.0	42.0
8297217.0	42.0
8458328.0	0.0
8619439.0	41.99967829403925
8780550.0	41.98075717555908
8941661.0	42.0
9102772.0	0.0
9263883.0	42.0
9424994.0	41.99853720654339
9586105.0	42.0
9747216.0	0.0
9908327.0	0.0
1.0069438E7	41.999748719666876
1.0230549E7	42.0
1.039166E7	41.9880624426079
1.0552771E7	42.0
1.0713882E7	41.999811179096625
1.0874993E7	0.0
1.1036104E7	0.0
1.1197215E7	0.0
1.1358326E7	0.0
1.1519437E7	0.0
1.1680548E7	42.0
1.1841659E7	42.0
1.200277E7	42.0
1.2163881E7	0.0
1.2324992E7	0.0
1.2486103E7	0.0
1.2647214E7	0.0
1.2808325E7	0.0
1.2969436E7	42.0
1.3130547E7	42.0
1.3291658E7	41.9995141850261
1.3452769E7	42.0
1.361388E7	42.0
1.3774991E7	41.810773933659966
1.3936102E7	41.99983940841118
1.4097213E7	42.0
1.4258324E7	42.0
1.4419435E7	42.0
1.4580546E7	0.0
1.4741657E7	42.0
1.4902768E7	0.0
1.5063879E7	0.0
1.522499E7	42.0
1.5386101E7	42.0
1.5547212E7	42.0
1.5708323E7	0.0
1.5869434E7	42.0
1.6030545E7	41.992050509010774
1.6191656E7	0.0
1.6352767E7	41.99724375861325
1.6513878E7	41.999705211440606
1.6674989E7	41.995117308726776
1.68361E7	0.0
1.6997211E7	0.0
1.7158322E7	42.0
1.7319433E7	42.0
1.7480544E7	41.994995209378345
1.7641655E7	40.769768348368416
1.7802766E7	42.0
1.7963877E7	41.96603680113234
1.8124988E7	41.99546166729699
1.8286099E7	41.993311171552335
1.844721E7	41.777993339420426
1.8608321E7	41.93283169901941
1.8769432E7	42.0
1.8930543E7	0.0
1.9091654E7	0.0
1.9252765E7	42.0
1.9413876E7	42.0
1.9574987E7	41.987042813560485
1.9736098E7	41.88721940065519
1.9897209E7	41.99977981651376
2.005832E7	41.98202078645666
2.0219431E7	41.994168165124236
2.0380542E7	42.0
2.0541653E7	41.99990144916654
2.0702764E7	42.0
2.0863875E7	0.0
2.1024986E7	0.0
2.1186097E7	41.9925707428779
