#Mapping quality	mapping quality
1.0	183.0
2.0	19.0
3.0	11.0
4.0	9.0
5.0	60.0
6.0	4.0
7.0	19.0
8.0	42.0
9.0	89.0
10.0	123.0
11.0	112.0
12.0	381.0
13.0	214.0
14.0	199.0
15.0	255.0
16.0	275.0
17.0	369.0
18.0	549.0
19.0	505.0
20.0	557.0
21.0	730.0
22.0	759.0
23.0	889.0
24.0	1129.0
25.0	982.0
26.0	932.0
27.0	674.0
28.0	958.0
29.0	838.0
30.0	1269.0
31.0	1580.0
32.0	1227.0
33.0	1424.0
34.0	1787.0
35.0	1926.0
36.0	1984.0
37.0	2276.0
38.0	2443.0
39.0	4021.0
40.0	5436.0
41.0	23501.0
42.0	1918880.0
