#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	9.328532248735983E-6
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	9.328532248735983E-6
10.0	1.8657064497471967E-5
11.0	9.328532248735983E-6
12.0	9.328532248735983E-6
13.0	1.8657064497471967E-5
14.0	2.798559674620795E-5
15.0	0.0
16.0	1.8657064497471967E-5
17.0	2.798559674620795E-5
18.0	1.0261385473609583E-4
19.0	6.529972574115188E-5
20.0	1.679135804772477E-4
21.0	2.7985596746207955E-4
22.0	6.250116606653111E-4
23.0	9.048676281273903E-4
24.0	0.0015392078210414374
25.0	0.002490718110412508
26.0	0.0030877441743316107
27.0	0.004449709882647064
28.0	0.0060355603649321805
29.0	0.007406854605496371
30.0	0.009375174909979665
31.0	0.010140114554376016
32.0	0.012033806600869418
33.0	0.013022631019235434
34.0	0.015140207839698503
35.0	0.015849176290602437
36.0	0.016222317580551877
37.0	0.017612268885613538
38.0	0.01834922293326368
39.0	0.018871620739192893
40.0	0.019851116625310174
41.0	0.020102986996026043
42.0	0.020504113882721695
43.0	0.021940707849027033
44.0	0.022407134461463835
45.0	0.023377301815332374
46.0	0.023713128976286874
47.0	0.02423552678221608
48.0	0.02505643762010485
49.0	0.026073247635217074
50.0	0.02645571745741525
51.0	0.02987928879270135
52.0	0.02512173734584601
53.0	0.02973003227672158
54.0	0.02993525998619377
55.0	0.030019216776432395
56.0	0.02926360566428478
57.0	0.03087744174331611
58.0	0.029795332002462736
59.0	0.03073751375958507
60.0	0.03042967219537678
61.0	0.029590104292990544
62.0	0.02741655627903505
63.0	0.02788298289147186
64.0	0.025896005522491095
65.0	0.02338663034758111
66.0	0.021194425269128157
67.0	0.019991044609041213
68.0	0.016194331983805668
69.0	0.014067426631093866
70.0	0.011893878617138379
71.0	0.00989757271590888
72.0	0.00773335323420213
73.0	0.0063527304613892055
74.0	0.00506539301106364
75.0	0.004580309334129368
76.0	0.004207168044179929
77.0	0.0038153696897330175
78.0	0.0035541707867684097
79.0	0.003003787384092987
80.0	0.0026306460941435475
81.0	0.0020709341592193885
82.0	0.0015858504822851176
83.0	0.001250023321330622
84.0	7.649396443963506E-4
85.0	6.809828541577269E-4
86.0	6.716543219089908E-4
87.0	3.8246982219817535E-4
88.0	2.8918449971081553E-4
89.0	2.3321330621839961E-4
90.0	8.395679023862385E-5
91.0	6.529972574115188E-5
92.0	8.395679023862385E-5
93.0	1.8657064497471967E-5
94.0	2.798559674620795E-5
95.0	0.0
96.0	9.328532248735983E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
