#Position (bp)	mapping quality
80556.0	41.975010745379485
241667.0	41.68525645240517
402778.0	41.863310847142785
563889.0	41.99354337141426
725000.0	41.611202685894
886111.0	41.99486083737037
1047222.0	41.995650663049695
1208333.0	41.999879612696844
1369444.0	41.999865764089975
1530555.0	39.2898210980876
1691666.0	35.77625635456506
1852777.0	28.928183802890114
2013888.0	42.0
2174999.0	41.980540780963324
2336110.0	41.99623377184097
2497221.0	41.830204446404636
2658332.0	41.870442417347256
2819443.0	41.978100074728154
2980554.0	41.997088775977495
3141665.0	41.993310902492766
3302776.0	41.97059359469906
3463887.0	42.0
3624998.0	41.98416591815794
3786109.0	41.91811380148891
3947220.0	41.99219504685666
4108331.0	41.99924108076295
4269442.0	42.0
4430553.0	0.0
4591664.0	0.0
4752775.0	41.99069618598262
4913886.0	41.77678490747899
5074997.0	41.99733001067996
5236108.0	42.0
5397219.0	0.0
5558330.0	41.99313309152866
5719441.0	42.0
5880552.0	42.0
6041663.0	41.995826666212736
6202774.0	42.0
6363885.0	0.0
6524996.0	0.0
6686107.0	0.0
6847218.0	42.0
7008329.0	0.0
7169440.0	41.97043805428648
7330551.0	0.0
7491662.0	0.0
7652773.0	0.0
7813884.0	42.0
7974995.0	42.0
8136106.0	41.99903294881536
8297217.0	42.0
8458328.0	0.0
8619439.0	41.995401459854016
8780550.0	41.99798649528148
8941661.0	42.0
9102772.0	0.0
9263883.0	42.0
9424994.0	41.98664485437787
9586105.0	41.638215614025235
9747216.0	0.0
9908327.0	0.0
1.0069438E7	42.0
1.0230549E7	42.0
1.039166E7	42.0
1.0552771E7	42.0
1.0713882E7	41.99981466772571
1.0874993E7	0.0
1.1036104E7	0.0
1.1197215E7	0.0
1.1358326E7	0.0
1.1519437E7	0.0
1.1680548E7	42.0
1.1841659E7	42.0
1.200277E7	42.0
1.2163881E7	0.0
1.2324992E7	0.0
1.2486103E7	0.0
1.2647214E7	0.0
1.2808325E7	0.0
1.2969436E7	42.0
1.3130547E7	41.99973300955445
1.3291658E7	42.0
1.3452769E7	42.0
1.361388E7	42.0
1.3774991E7	41.8406765637966
1.3936102E7	42.0
1.4097213E7	42.0
1.4258324E7	41.999575731862535
1.4419435E7	41.992785364596756
1.4580546E7	0.0
1.4741657E7	42.0
1.4902768E7	0.0
1.5063879E7	0.0
1.522499E7	42.0
1.5386101E7	42.0
1.5547212E7	42.0
1.5708323E7	0.0
1.5869434E7	41.99932125599961
1.6030545E7	41.9542693725485
1.6191656E7	0.0
1.6352767E7	41.99885890231503
1.6513878E7	42.0
1.6674989E7	41.986668686562645
1.68361E7	0.0
1.6997211E7	0.0
1.7158322E7	42.0
1.7319433E7	42.0
1.7480544E7	41.99383654669462
1.7641655E7	40.965171755725194
1.7802766E7	41.99843686032231
1.7963877E7	41.999872366144
1.8124988E7	41.992520071991116
1.8286099E7	41.99431654774784
1.844721E7	41.884941765909446
1.8608321E7	41.99597768154564
1.8769432E7	42.0
1.8930543E7	0.0
1.9091654E7	0.0
1.9252765E7	42.0
1.9413876E7	42.0
1.9574987E7	41.974156652671205
1.9736098E7	41.91577756295745
1.9897209E7	41.99671618451916
2.005832E7	41.998981453617205
2.0219431E7	41.99738072004519
2.0380542E7	42.0
2.0541653E7	41.99775510204081
2.0702764E7	41.91305734373609
2.0863875E7	0.0
2.1024986E7	0.0
2.1186097E7	41.994607260937954
2.1347208E7	41.98349803796744
2.1508319E7	42.0
2.166943E7	42.0
2.1830541E7	0.0
2.1991652E7	0.0
2.2152763E7	0.0
2.2313874E7	0.0
2.2474985E7	0.0
2.2636096E7	42.0
2.2797207E7	0.0
2.2958318E7	42.0
2.3119429E7	41.99982451082392
2.328054E7	41.933267909715404
2.3441651E7	41.98867980813766
2.3602762E7	41.25697771754295
2.3763873E7	26.622301920470697
2.3924984E7	41.959386290146696
2.4086095E7	0.0
2.4247206E7	0.0
2.4408317E7	42.0
2.4569428E7	42.0
2.4730539E7	42.0
2.489165E7	41.93850484195425
2.5052761E7	42.0
2.5213872E7	41.943902338414716
2.5374983E7	41.967569525573275
2.5536094E7	41.84670622562971
2.5697205E7	39.08025215114493
2.5858316E7	26.60630092341119
2.6019427E7	0.0
2.6180538E7	0.0
2.6341649E7	0.0
2.650276E7	0.0
2.6663871E7	0.0
2.6824982E7	0.0
2.6986093E7	0.0
2.7147204E7	0.0
2.7308315E7	0.0
2.7469426E7	0.0
2.7630537E7	0.0
2.7791648E7	0.0
2.7952759E7	0.0
2.811387E7	0.0
2.8274981E7	0.0
2.8436092E7	0.0
2.8597203E7	0.0
2.8758314E7	0.0
2.8919425E7	0.0
2.9080536E7	0.0
2.9241647E7	0.0
2.9402758E7	0.0
2.9563869E7	0.0
2.972498E7	0.0
2.9886091E7	0.0
3.0047202E7	0.0
3.0208313E7	42.0
3.0369424E7	42.0
3.0530535E7	0.0
3.0691646E7	0.0
3.0852757E7	0.0
3.1013868E7	0.0
3.1174979E7	0.0
3.133609E7	42.0
3.1497201E7	41.999522504567345
3.1658312E7	42.0
3.1819423E7	41.996844902025906
3.1980534E7	41.96652407365977
3.2141645E7	41.999837509091755
3.2302756E7	42.0
3.2463867E7	41.99991463084957
3.2624978E7	41.99969357156928
