#Position (bp)	mapping quality
80556.0	41.97233188319895
241667.0	41.876981979200345
402778.0	41.88762314282964
563889.0	41.99452217439993
725000.0	41.63237267905166
886111.0	41.99447478551044
1047222.0	41.99920523102489
1208333.0	42.0
1369444.0	41.998938570546265
1530555.0	39.25914913499639
1691666.0	36.11537778738316
1852777.0	28.88787467006268
2013888.0	42.0
2174999.0	41.97965208291615
2336110.0	41.996577864978846
2497221.0	41.86767150615095
2658332.0	41.86527202427999
2819443.0	41.98673202373494
2980554.0	41.997410610372036
3141665.0	41.993947357121385
3302776.0	41.967443292620345
3463887.0	42.0
3624998.0	41.988842335043245
3786109.0	41.91542770336196
3947220.0	41.992651621419355
4108331.0	42.0
4269442.0	42.0
4430553.0	0.0
4591664.0	0.0
4752775.0	41.994212556997546
4913886.0	41.873747187816754
5074997.0	41.99708690001344
5236108.0	42.0
5397219.0	0.0
5558330.0	41.993046941727364
5719441.0	42.0
5880552.0	41.99965329847974
6041663.0	41.996107640415616
6202774.0	42.0
6363885.0	0.0
6524996.0	0.0
6686107.0	0.0
6847218.0	42.0
7008329.0	0.0
7169440.0	41.94447480598973
7330551.0	0.0
7491662.0	0.0
7652773.0	0.0
7813884.0	42.0
7974995.0	42.0
8136106.0	42.0
8297217.0	42.0
8458328.0	0.0
8619439.0	41.99490109489882
8780550.0	41.97914183347131
8941661.0	42.0
9102772.0	0.0
9263883.0	42.0
9424994.0	41.97828901803728
9586105.0	41.75246484092512
9747216.0	0.0
9908327.0	0.0
1.0069438E7	42.0
1.0230549E7	42.0
1.039166E7	41.99949143614799
1.0552771E7	42.0
1.0713882E7	41.99981735954079
1.0874993E7	0.0
1.1036104E7	0.0
1.1197215E7	0.0
1.1358326E7	0.0
1.1519437E7	0.0
1.1680548E7	42.0
1.1841659E7	42.0
1.200277E7	42.0
1.2163881E7	0.0
1.2324992E7	0.0
1.2486103E7	0.0
1.2647214E7	0.0
1.2808325E7	0.0
1.2969436E7	42.0
1.3130547E7	42.0
1.3291658E7	41.99662908197105
1.3452769E7	42.0
1.361388E7	42.0
1.3774991E7	41.95987591779554
1.3936102E7	41.99984082528301
1.4097213E7	42.0
1.4258324E7	42.0
1.4419435E7	42.0
1.4580546E7	0.0
1.4741657E7	41.99440028901734
1.4902768E7	0.0
1.5063879E7	0.0
1.522499E7	42.0
1.5386101E7	42.0
1.5547212E7	42.0
1.5708323E7	0.0
1.5869434E7	42.0
1.6030545E7	41.96340580681483
1.6191656E7	0.0
1.6352767E7	41.99816547422491
1.6513878E7	42.0
1.6674989E7	42.0
1.68361E7	0.0
1.6997211E7	0.0
1.7158322E7	42.0
1.7319433E7	42.0
1.7480544E7	41.993720008509904
1.7641655E7	40.78336901021678
1.7802766E7	42.0
1.7963877E7	41.99937639394295
1.8124988E7	41.994209417451884
1.8286099E7	41.99001528409053
1.844721E7	41.930138379841225
1.8608321E7	41.99520272172115
1.8769432E7	41.99950790284596
1.8930543E7	0.0
1.9091654E7	0.0
1.9252765E7	42.0
1.9413876E7	42.0
1.9574987E7	41.96739615162276
1.9736098E7	41.8775726995087
1.9897209E7	41.99714545625647
2.005832E7	41.99893375819597
2.0219431E7	41.99677638648275
2.0380542E7	42.0
2.0541653E7	41.99893477139195
2.0702764E7	41.86143359819255
2.0863875E7	0.0
2.1024986E7	0.0
2.1186097E7	41.99219765929779
2.1347208E7	41.98612244696669
2.1508319E7	41.99963896123991
2.166943E7	41.99923690474027
2.1830541E7	0.0
2.1991652E7	0.0
