#Position (bp)	mapping quality
80556.0	41.98300636723455
241667.0	41.89448230539933
402778.0	41.9945178658835
563889.0	41.9942882810858
725000.0	41.78395025286814
886111.0	41.99100135731093
1047222.0	42.0
1208333.0	41.99951841627753
1369444.0	42.0
1530555.0	39.024800975007615
1691666.0	35.99493834593172
1852777.0	30.51184498782164
2013888.0	42.0
2174999.0	41.981857773906555
2336110.0	41.99616016383301
2497221.0	41.79421079356507
2658332.0	41.86245687045754
2819443.0	41.99472187925051
2980554.0	41.995357597470296
3141665.0	41.996623560679126
3302776.0	41.985995143164324
3463887.0	42.0
3624998.0	41.98841707604414
3786109.0	41.927470935011264
3947220.0	41.98918731046283
4108331.0	42.0
4269442.0	41.999516930437984
4430553.0	0.0
4591664.0	0.0
4752775.0	41.98470635749175
4913886.0	41.78158702816057
5074997.0	41.99816152708157
5236108.0	42.0
5397219.0	0.0
5558330.0	41.99264089310522
5719441.0	42.0
5880552.0	41.99729989290078
6041663.0	41.99749838019391
6202774.0	42.0
6363885.0	0.0
6524996.0	0.0
6686107.0	0.0
6847218.0	42.0
7008329.0	0.0
7169440.0	41.96409590173615
7330551.0	0.0
7491662.0	0.0
7652773.0	0.0
7813884.0	41.99926872584184
7974995.0	41.99761146496815
8136106.0	42.0
8297217.0	42.0
8458328.0	0.0
8619439.0	41.99362237519524
8780550.0	41.97766496793045
8941661.0	41.99970950338913
9102772.0	0.0
9263883.0	42.0
9424994.0	41.9874195558315
9586105.0	41.66084141229022
9747216.0	0.0
9908327.0	0.0
1.0069438E7	41.999745898068824
1.0230549E7	42.0
1.039166E7	41.99460375227458
1.0552771E7	41.99969802855787
1.0713882E7	42.0
1.0874993E7	0.0
1.1036104E7	0.0
1.1197215E7	0.0
1.1358326E7	0.0
1.1519437E7	0.0
1.1680548E7	42.0
1.1841659E7	42.0
1.200277E7	42.0
1.2163881E7	0.0
1.2324992E7	0.0
1.2486103E7	0.0
1.2647214E7	0.0
1.2808325E7	0.0
1.2969436E7	42.0
1.3130547E7	42.0
1.3291658E7	41.99603478311575
