#Mapping quality	mapping quality
1.0	130.0
2.0	30.0
3.0	19.0
4.0	17.0
5.0	21.0
6.0	6.0
7.0	40.0
8.0	58.0
9.0	88.0
10.0	84.0
11.0	192.0
12.0	192.0
13.0	185.0
14.0	220.0
15.0	206.0
16.0	273.0
17.0	485.0
18.0	352.0
19.0	478.0
20.0	608.0
21.0	670.0
22.0	956.0
23.0	1097.0
24.0	968.0
25.0	885.0
26.0	828.0
27.0	737.0
28.0	868.0
29.0	1010.0
30.0	1257.0
31.0	1166.0
32.0	1337.0
33.0	1501.0
34.0	1560.0
35.0	2063.0
36.0	2101.0
37.0	2723.0
38.0	2825.0
39.0	3957.0
40.0	5389.0
41.0	22486.0
42.0	1919555.0
