#Mapping quality	mapping quality
1.0	134.0
2.0	47.0
3.0	1.0
4.0	9.0
5.0	24.0
6.0	21.0
7.0	19.0
8.0	62.0
9.0	114.0
10.0	149.0
11.0	237.0
12.0	315.0
13.0	375.0
14.0	249.0
15.0	181.0
16.0	291.0
17.0	296.0
18.0	427.0
19.0	526.0
20.0	459.0
21.0	592.0
22.0	694.0
23.0	746.0
24.0	1010.0
25.0	1310.0
26.0	991.0
27.0	658.0
28.0	962.0
29.0	943.0
30.0	1185.0
31.0	1197.0
32.0	1446.0
33.0	1631.0
34.0	1436.0
35.0	1944.0
36.0	1983.0
37.0	2180.0
38.0	2848.0
39.0	3268.0
40.0	5705.0
41.0	22376.0
42.0	1920581.0
